Course,Discipline,policy_text,Contributor,Rights for Reuse,Institution,word_count,category
English 4412: Studies in Shakespeare,Literature,"Policy on Use of Artificial Intelligence
English 4412: Studies in Shakespeare (Fall 2026)
Prof. David S. Weiss

Summary of Policy on Artificial Intelligence
You are allowed to use artificial intelligence (AI) in this class. All graded written assignments must include an acknowledgment of the use of AI describing its use, or lack of use. The use of AI is discouraged for first drafts and discussion posts. Determining the appropriate use of AI during the writing process is a matter of judgment. When in doubt, email Prof. Weiss with questions.

Policy Details
In this class, you may use AI to assist you in the writing process. You may not use it, however, to substitute for the critical thinking and drafting that allows you to express your personal views in your own voice. To implement this general approach, the following policies will be applied:

Acknowledgment of the Use of Artificial Intelligence
All graded written assignments must include an acknowledgment of the use of AI, whether AI was used or not. The acknowledgment should have an underlined title “Acknowledgment of the Use of Artificial Intelligence,” and should appear after the body but before any list of works cited. The acknowledgment should include the following:
No AI Use: If no AI was used, state “No form of artificial intelligence was used during any stage of the research and writing process for this assignment.”
Name of AI Tool or Platform Used: If you used AI at any stage during the writing process, state what specific AI tools (ChatGPT, Claude, Grammarly, etc.) were used.
Description of Use of AI: Briefly describe how you used AI (e.g., brainstorming, outlining, revising, grammar suggestions). Be specific. Simply naming a tool is not enough. All forms of AI, including Grammarly, now include a wide range of uses. 
Link or Other Documentation of AI Use: Include either a link to any chat or, if no link is available, screenshots or copies of interactions.
Examples: Here are two examples of potential AI acknowledgments:
“I used Grammarly to suggest revisions to certain paragraphs. Screenshots are included with my submission.
“I used Claude to help me brainstorm ideas for this essay, to suggest an outline, and to improve my grammar in the final version. Here is a link to the chat: Link to Claude Chat.”

First Drafts and Informal Expressions of Opinions (Such as Discussion Posts)
Many assignments, such as first drafts and discussion posts, call for an informal expression of opinion. Such assignments emphasize expressing your own views in your distinctive voice. Grammar and formatting are secondary. For these assignments, a submission that expresses your views, but includes awkward wording or grammatical errors, is more effective than one that is grammatically correct but impersonal. Submissions that lack a clear personal voice may receive a lower grade. At the extreme, a submission that feels overly generic may be graded as a zero.


Using AI to Assist with Research
AI can be a useful tool for identifying potential sources of research. For example, it can help you evaluate what research is considered most authoritative and current on a particular topic. But it must not substitute for your own critical consideration of any source you cite. Be especially cautious about two pitfalls in using AI for research: citing sources that do not exist, and surface-level citation of research that is more detailed and scholarly than demonstrated by your use. Make sure to verify and thoroughly read any source before citing it. Misuse of AI for research is often obvious and seriously undermines your persuasiveness. The appropriate use of AI for research requires that you already know a fair amount about your topic. Lastly, any use of AI for research should be described in your Acknowledgment of Use of Artificial Intelligence.

Consideration of Use of AI in Grading
Any use of AI that is fully disclosed is not considered cheating or a breach of academic integrity. Submissions where AI use is fully and honestly disclosed will be graded on their own merits. Submissions where AI use appears inconsistent with the acknowledgment will be questioned and may, ultimately, have points deducted from the grade. In extreme cases, misrepresentations of the use of AI will be evaluated as a breach of academic integrity (see next item, below). 

Academic Integrity
The AI policy for this class is based on a high degree of trust – both my trust that you are fully disclosing your use of AI, and your trust that I will allow you to demonstrate that your use was fully disclosed. I pledge to give you every opportunity to demonstrate that you have fully and honestly disclosed any use of AI. With that in mind, I recommend that you read the article “What to do when you're accused of AI cheating.” I also encourage you to retain early drafts, or use tools such as “track changes” or a document history to document your writing process. While I will give you the opportunity to address questions surrounding your use of AI, the onus is on you to demonstrate the accuracy of your AI acknowledgment. Significant misrepresentations will be addressed as a breach of Academic Integrity. For further details, see GGC’s policies on Acceptable Use of Artificial Intelligence (AI) for Academic and Administrative Purposes and the Academic Integrity Policy for Academic Dishonesty Matters.

Use of AI Detectors
While I do not rely entirely on AI detectors to accurately identify AI use, I may use some (like Turnitin) to flag sections that do not come across as reflecting a student’s individual voice.

Other Classes
This policy is specific to Prof. Weiss’s class. Check with other professors before using AI in their classes, and make sure to adhere to their specific policies.

Acknowledgment of Use of Artificial Intelligence in Drafting This Policy
I used Claude to assist me in drafting this policy statement. I requested suggestions for revising my policy statement from prior semesters, and for improving the wording and format of my initial draft for this semester. For a full version of the chat, see the following link: 
https://claude.ai/share/0ba520ce-1fc5-431e-839b-51ba176a9361
.",David Weiss,Public Domain,Georgia Gwinnett College,1009,Humanities
ISTM705: Information Management for Decision Making,Management,"Artificial Intelligence (AI) is defined, for the purpose of this course, as any computer system or program that simulates, substitutes, and/or enhances problem-solving that typically requires human intelligence. While students may use simple AI, such as built-in features of a word processor like spelling and grammar checks, they are not permitted to utilize Generative AI at any stage of completing work (graded or ungraded) unless explicitly noted in the instructions for a deliverable. Generative AI is defined here as AI which has the capacity to ideate, summarize, generate, rewrite, or validate content; including, but not limited to, tools such as ChatGPT, Bard, and DALL-E.

Students may formally request, in writing, an exception to the above. Such requests must include: (1) which assignment the student is requesting to use AI with, (2) which specific AI tool the student wishes to use, (3) what they plan to use the tool for (e.g. to generate ideas, summarize a longer document, create a unique scenario, etc.), and (4) why, specifically, they are requesting the exception (e.g. to reduce time spent on a tedious task, to identify relevant sources for further investigation, to experiment with AI, etc.). Requests will be considered on a case-by-case basis.

In the event of any exception (whether it is an individual exception, or that a given deliverable permits the use of Generative AI), the professor will specify guidelines, if any, upon which the student’s use of Generative AI must be documented.",Michael Scialdone,Public Domain,Texas A&M University,241,Professional
MBA 650 Capstone Strategic Management,Management,"The following follows the general Academic Integrity section:
""Policy on Use of Chatbots, such as ChatGPT and Moonbeam, or similar programs, for MBA/ACC 650 Writing Assignments. Your instructor will discuss in class the ways in which students could use ChatGPT or similar systems that are acceptable. Except for those situations, the following policy will apply.
•	Purpose: This policy aims to ensure the academic integrity and originality of university writing assignments by prohibiting the use of chatbots to complete assignments.
•	Scope: This policy applies to all students in the Daemen University MBA/ACC 650 spring 2023 course. The policy applies to any writing assignments submitted for academic credit, including but not limited to essays, research papers, and projects.
•	Policy: It is strictly forbidden to use chatbots or any other automated software to complete university writing assignments except under the conditions explained in class by your instructor. 
Violation of this policy may result in disciplinary action, up to and including revocation of credit for the assignment, and other sanctions as described for plagiarism in the university's academic honesty policy.""",Dr. Paul McAfee,,Daemen University,179,Professional
MGMT 362  Leadership,Management,"AI Use:
As technology continues to evolve, the use of Artificial Intelligence (AI) in academic settings has become increasingly common. Therefore, it is important to establish guidelines and expectations to ensure that the use of AI such as ChatGPT is both ethical and effective.

Guidelines:
Use AI such as ChatGPT as a tool, not a substitute:  The use of AI is meant to be an aid in completing assignments, not a substitute for critical thinking or original work. To do so violates our academic integrity policies and will result in consequences aligned with our academic misconduct policies Students who use AI such as ChatGPT are expected to use it to supplement their own knowledge and ideas, not to provide complete answers to assignments.
AI and Academic Misconduct Explained

If you are asking AI to write something for you, you are engaging in academic misconduct.  Just like you can ask a friend to proofread your paper, you can ask AI to help you proofread, but you cannot ask your friend to WRITE an assignment for you and you can’t ask AI to write an assignment for you either.  I find it is helpful to replace the term “AI” or “ChatGPT” with a person’s name.  If you asked Nicole to give you feedback on your work, that would be completely fine.  If you give Nicole the assignment prompt and asked her to write for you, that would be cheating!

If you are going to use AI, please ensure the following: 
Acknowledge the use of AI:  If using ChatGPT or any other AI tool, students must clearly acknowledge their use of this tool. It must be cited as an outside source and you must include a paragraph that explains what you used the AI for and what prompt(s) you used to get your results.  This paragraph must be written by you, not the AI! AI should be used to help you to clarify your thoughts or make your writing more cohesive.  It should NOT do your work for you.  If the work you submit is written mostly by AI, does not sound like your “voice” or, is otherwise thought to be doing the work for you, you will not receive credit and will be subject to academic misconduct consequences.  Please use AI wisely and sparingly. 

Ensure accuracy: AI is a powerful tool, but it is not infallible. Students are responsible for ensuring the accuracy of any information or responses generated by AI. You will likely need to refine your prompt to obtain a good outcome.  Assume numbers and facts are wrong unless you have checked with yourself through a valid source.  You will be responsible for any errors or omissions.  

Avoid plagiarism: Using AI to generate content that is identical or substantially similar to another source without proper attribution constitutes plagiarism. Students must ensure that any material generated by AI is properly cited and that any paraphrasing is done in accordance with academic standards.

Follow the course objectives: Students who use AI must do so in a manner that is consistent with the course objectives. Assignments should be completed in a way that demonstrates an understanding of the course content and learning objectives, with ChatGPT serving as a tool to aid in that process, not as the main mechanism for completing the assignment.

As always, our academic policies still apply.  Your work must be your own and you should adhere to Anderson’s Code of Professional and Ethical Conduct in everything you do.  
When in doubt, please reach out to me for clarification.",Nicole Capehart,Creative Commons 4.0 By,University of New Mexico,589,Professional
"CBAD 350, Marketing; MKTG 351, Consumer Market Analysis, MKTG 455, Personal Selling and Sales Management",Marketing,"You might be permitted to use generative AI tools for specific assignments or class activities. However, assignments created with AI should not exceed 25% of the work submitted and must identify the AI-generated portions. Presenting AI-generated work as your own will have consequences according to university policies. Importantly, while AI programs like ChatGPT can help with idea generation, they are not immune to inaccuracies and limitations. Further, overreliance on AI can hinder independent thinking and creativity. Note that, in the spirit of this policy, it was written in part by ChatGPT.","Matthew A. Gilbert 
LinkedIn",,Coastal Carolina University,91,Professional
Digital Analytics,Marketing,"As most of us have had a chance to explore new AI tools like ChatGPT, they can be an amazing assist much like a calculator is for math classes. The best way to use it for idea generation, synthesis, rephrasing, essentializing and gathering information about the typical understanding of a topic. However, it should be you that guides, verifies and crafts your ultimate answers, so please don't just cut and paste without understanding. Let's leverage the tools as an extension of ourselves with a base of knowledge to make them powerful.",Thinker Metrics,,Misc,91,Professional
Marketing,Marketing,"A wide variety of generative AI tools is available to professionals including both text- (e.g., ChatGPT) and image-generating (e.g., Midjourney) tools that will create output in response to inputs (“prompts”). Some assignments will require the use of GenAI as indicated earlier in this syllabus. Beyond those specific assignments, here are allowed and non-allowed uses of GenAI for this class. Note these guidelines are for our class only; other professors (and employers) may have different guidelines.


Allowed Uses:
· Generating ideas. AI tools can be helpful in suggesting ideas, especially for your XXXX Project. Treat this as one starting point among others. You need to evaluate whether the ideas are good.
· As an alternative search engine. Some AI tools such as Copilot, Gemini, and Perplexity are connected to the internet and thus may be helpful in identifying sources that you may then review.
· Generating images. You may use image-generating tools to produce images to illustrate a deliverable; as with ideas, this is likely most relevant to your XXXX Project. The image source should be noted in the deliverable (e.g., “produced by Dall-E 3”)
· Providing feedback on writing. In all written assignments you may ask a text model such as GPT or Claude for feedback on your writing. A prompt that may be helpful: “Imagine you are an expert in US business English, which favors simple, direct language and short paragraphs. Improve the writing in this draft.”
Note that at time of writing, none of the AI tools are good at word counts.
· Providing feedback on ideas. Text-based AI can sometimes be a useful critic of ideas. For example, you may submit an idea to an AI and ask it to identify strengths, weaknesses, areas for improvement or concern, etc. This is another starting point. You need to evaluate whether the feedback is good.
If you use AI in your XXXX Project, please include a paragraph in your assignment indicating how you used it (e.g., tools, prompts). This will not be part of the grade for your assignment, but will help me understand how you are using the tools.
If you use AI to improve writing on your case reports, I would like you to submit both your pre-AI draft and your post-AI final deliverable. I will only grade the latter, but I would like to see where you start in writing, as it may suggest advice I can give you.


Non-Allowed Uses:
· Direct use of AI output. With the exception of the image generating example earlier, you may not simply copy and paste an AI output into a deliverable. This is a violation of academic integrity guidelines on plagiarism, which indicate: “using as one’s own the words, ideas, data, code, or other original academic material of another without providing proper citation or attribution.” Quotation marks around AI text and citing it are not allowed in this class. All references in this class must be ones that I can check. AI text does not exist independent of the prompt, tool, and moment that you use it, and so fails this test.
· As a source of facts and analysis. All text-based AI generators will quickly generate plausible-sounding facts, numbers, and analysis. That does not mean these are correct. You must check everything it produces. Where relevant, ask for sources, review those sources and then incorporate those sources (with citations) as appropriate in your assignment.
· As a source of XXXX coursepack analysis. Do not upload cases or readings from our XXXX coursepack to an AI program and then ask for an analysis. This is a violation of copyright. (It’s also a terrible way to learn.)
Note in all cases, “the AI told me to” is not a valid argument in grading. I will evaluate the quality of your deliverables using the usual criteria for the course.
In all aspects of our course, the University’s policy on academic integrity governs our use of any tools or sources.","Bruce Clark
",Public Domain,Northeastern University,659,Professional
"Marketing Research, Business Web Design",Marketing,"Policy on use of ChatGPT and other AI tools: Any use of AI tools to generate original works or complete assignments must be clearly cited and acknowledged, as failure to do so could constitute plagiarism. AI output must be supported and documented with additional research sources such as Google Scholar and UWG Galileo databases. Any violations of these guidelines will be subject to the academic and disciplinary policies listed in the UWG Honor Code. 

The following link has information on how to cite Generative AI
material using APA: https://apastyle.apa.org/blog/how-to-cite-chatgpt",Sunil Hazari,Creative Commons 4.0 By Noncommerical & Share Alike,University of West Georgia ,89,Professional
Social Media Marketing,Marketing,"The beta release of Dall-E-Mini in July 2022 and ChatGPT in November 2022 are among many tools using artificial intelligence. There is a good possibility that using tools like these are going to become an important skill for careers in the not distant future (https://www.theguardian.com/commentisfree/2023/jan/07/chatgpt-bot-excel-ai-chatbot-tech). In the meantime though, it's going to take a while for society to figure out when using these tools is/isn't acceptable. There are three reasons why:

* Work created by AI tools may not be considered original work and instead, considered automated plagiarism. It is derived from previously created texts from other sources that the models were trained on, yet doesn't cite sources.
* AI models have built-in biases (ie, they are trained on limited underlying sources; they reproduce, rather than challenge, errors in the sources)
* AI tools have limitations (ie, they lack critical thinking to evaluate and reflect on criteria; they lack abductive reasoning to make judgments with incomplete information at hand)

Given these (important) ethical caveats, some scholars in computational sciences debate if the hype over AI-based tools-- especially as ""automated plagiarism"" tools-- should be heeded at all (https://irisvanrooijcogsci.com/2023/01/14/stop-feeding-the-hype-and-start-resisting/). For the time being, I'm tentatively, pragmatically augmenting my academic integrity policy with a policy regarding a responsible use of AI-based tools in my class. This policy was developed from a response by ChatGPT-3 (2023) and edited on critical reflection by me:

Academic integrity is a core principle at UMass Lowell and it's vital that all students uphold this principle-- whether using AI-based tools or otherwise. For my class, a responsible use of AI-based tools in completing coursework or assessments must be done in accordance with the following:

1. You must clearly identify the use of AI-based tools in your work. Any work that utilizes AI-based tools must be clearly marked as such, including the specific tool(s) used. For example, if you use ChatGPT-3, you must cite ""ChatGPT-3. (YYYY, Month DD of query). ""Text of your query."" Generated using OpenAI. https://chat.openai.com/""
2. You must be transparent in how you used the AI-based tool, including what work is your original contribution. An AI detector such as GPTZero (https://gptzero.me/) may be used to detect AI-driven work.
3. You must ensure your use of AI-based tools does not violate any copyright or intellectual property laws.
4. You must not use AI-based tools to cheat on assessments.
5. You must not use AI-based tools to plagiarize without citation.

Violations of this policy will be dealt with in accordance with UMass Lowell's academic integrity policy. If you are found in violation of this policy, you may face penalties such as a reduction in grade, failure of the assignment or assessment, or even failure of the course. Finally, it's your responsibility to be aware of the academic integrity policy and take the necessary steps to ensure that your use of AI-based tools is in compliance with this policy. If you have questions, please speak with me first, as we navigate together how best to responsibly use these tools.

ChatGPT-3. (2023, January 10). ""Write a syllabus policy about the academic integrity of students using ai-based tools."" Generated using OpenAI. https://chat.openai.com/",Spencer Ross,,UMass Lowell,520,Professional
CBAD 350 Marketing,Marketing,"AI is revolutionizing marketing, but it’s important to responsibly use it. Students can use AI to help with studying, but not to create graded assignments -- except as noted by the instructor. Presenting AI-generated work as your own will result in receiving a zero for that assignment.",Matthew Gilbert,Public Domain,Coastal Carolina University,47,Professional
MAT115,Math,"As many of us have explored new AI tools like ChatGPT, we can think of them as valuable aids, similar to calculators in math classes. These tools excel at idea generation, synthesis, rephrasing, summarizing, and gathering information on various topics. However, it’s crucial that you take the lead in guiding, verifying, and shaping your final answers. Avoid simply cutting and pasting without fully understanding the material. Let’s leverage these tools as extensions of our knowledge to enhance our learning experience.",Shaoshao Yang,,LaGuardia Community College,80,STEM
MATH 229 - Calculus 1,Mathematics,"You are expected to use the university’s AI tutor each week as a study coach—to review concepts, ask questions, and practice problem-solving. Do not use any AI to generate answers for homework, worksheets, or projects. Copying or paraphrasing AI output is prohibited and may violate academic integrity policies. More importantly, relying on AI for answers harms your learning and will leave you unprepared for exams and quizzes, where AI is not allowed.",Ricela Feliciano,Creative Commons 4.0 By & Share Alike,Northern Illinois University,72,STEM
"FMS 139W, FMS291, CLTTHY289",Media Studies,"The use of ChatGPT and other generative artificial intelligence (GenAI) programs has become increasingly popular inside and outside of academia. The goal of this course is to help you develop basic and advanced writing skills related to the analysis of film and media. Gen AI can be a useful tool but should not replace your personal skillset and your ideas. You are responsible for all content (ideas, facts, citations) that appears in the work you submit for the class. I highly discourage the uncritical use of GenAI, which can lead to mistakes and, when used without attribution, can be a violation of academic integrity.","Catherine Benamou
@luzaccion (Twitter)   ",Creative Commons 4.0 By        ,UC Irvine,104,Humanities
Code of Student Rights & Responsibilities,Misc,"3.1.1 Cheating: Unauthorized use of notes, study aides, electronic devices, artificial intelligence, or acquiring information from another student’s papers on an examination; obtaining a copy of an examination or questions from an exam prior to taking the exam; altering graded work with the intent to deceive; using another person’s work and then submitting as one’s own work; allowing another to take an examination in one’s name; submitting identical or similar papers for credit in more than one course without obtaining permission from the instructors of all the courses involved.

3.1.3 Plagiarism: Presenting within one’s own work the ideas, representations, or words of another person, or artificial intelligence, without customary and proper acknowledgment or citation of that proper authorship is considered plagiarism. Students who are unsure of what constitutes plagiarism should consult with their instructors.",Heather Brown,Public Domain,Tidewater Community College,134,Education_General
Examples provided for all courses,Misc,"The Center for Teaching & Assessment of Learning at the University of Delaware has developed four sample syllabus statements at https://sites.udel.edu/ctal/advanced-automated-tools/#syllabus-language Additional text for most of these recommendations is included at that webpage, including an acknowledgement of Spencer Ross's sample citation language for GPT-3.

Use prohibited
Students are not allowed to use advanced automated tools (artificial intelligence or machine learning tools such as ChatGPT or Dall-E 2) on assignments in this course. Each student is expected to complete each assignment without substantive assistance from others, including automated tools.

Use only with prior permission
Students are allowed to use advanced automated tools (artificial intelligence or machine learning tools such as ChatGPT or Dall-E 2) on assignments in this course if instructor permission is obtained in advance. Unless given permission to use those tools, each student is expected to complete each assignment without substantive assistance from others, including automated tools.

Use only with acknowledgement
Students are allowed to use advanced automated tools (artificial intelligence or machine learning tools such as ChatGPT or Dall-E 2) on assignments in this course if that use is properly documented and credited. For example, text generated using ChatGPT-3 should include a citation such as: “Chat-GPT-3. (YYYY, Month DD of query). “Text of your query.” Generated using OpenAI. https://chat.openai.com/” Material generated using other tools should follow a similar citation convention.

Use is freely permitted with no acknowledgement
Students are allowed to use advanced automated tools (artificial intelligence or machine learning tools such as ChatGPT or Dall-E 2) on assignments in this course; no special documentation or citation is required.",Kevin R. Guidry,Creative Commons 4.0 By Noncommerical,University of Delaware,261,Education_General
General use,Misc,"You may use AI programs e.g. ChatGPT to help generate ideas and brainstorm. However, you should note that the material generated by these programs may be inaccurate, incomplete, or otherwise problematic. Beware that use may also stifle your own independent thinking and creativity.",Holly Fernandez-Lynch shared on Twitter,,University of Pennsylvania,43,Education_General
Institution level course outline template,Misc,"Use of generative artificial intelligence in course assessments

It is critical that any work submitted for assessment is your own original work. Before using generative AI tools (such as ChatGPT, Perplexity, Microsoft Copilot, etc) in any assessable work you must ensure that such use is in line with the requirements for the course and expectations of your Course Coordinator.

Misuse of AI tools may be considered a breach of the University's Student Conduct Rule (https://policies.newcastle.edu.au/document/view-current.php?id=34) and could result in disciplinary action.

Artificial Intelligence detection software may be used to review any work you submit. If you have used AI in any way other than has been expressly permitted by your course coordinator, you may be engaging in academic misconduct and be subject to penalties.

For more information, refer to:

Generative AI Tools (https://libguides.newcastle.edu.au/AI/home)
Academic Integrity (https://www.newcastle.edu.au/current-students/study-essentials/assessment-and-exams/academic-integrity)""        Our University includes this statement in all course outlines. Specific requirements are set by individual course (unit) coordinators.",Sam Doherty,Contact me for specific permissions,University of Newcastle (Australia),154,Education_General
RELE515 - Faith and Flourshing,Misc,"AI tools like ChatGPT are designed to assist humans with their work. However, it is important that students understand the appropriate use of AI to avoid academic misconduct. The following guidelines apply to the use of AI in this course:

•	If utilized, AI should be used to enhance and supplement academic work, not to replace it.

•	Students must properly cite any information obtained from AI.

•	Students must not use AI to obtain answers on assessments.

While AI can provide a wealth of information and insights, it is important to remember that it is a machine and not a human expert. It is not capable of independent thinking or making judgments based on personal experiences, cultural contexts, or ethical considerations. Therefore, it is important, if used, to use AI as a complementary tool to academic work, and not as a replacement for one's own thinking and analysis.

Moreover, academic work involves developing essential skills such as critical thinking, problem-solving, and effective communication, which cannot be fully developed by relying solely on AI. Engaging in independent research, reading, writing, and discussion with peers and instructors are crucial components of academic work that should not be overlooked or replaced by technology.

In conclusion, while AI can be a valuable resource in enhancing academic work, it should be used judiciously as a supplementary tool, rather than a replacement for independent thinking and academic inquiry. (This was generated utilizing Chat GPT (AI) March 16, 2023.)",Zane Yi,,Loma Linda University,243,Education_General
Sample Course Policies for Syllabus,Misc,"Generative AI Usage Notifications for your courses:
Note: The notifications provided below should be tailored and incorporated into the course syllabus as appropriate, depending on the specific guidelines and policies of the course. Please include your statement in the “Generative AI (Artificial Intelligence) Policy” section of the syllabus. 

Notification 1: Broadly Acceptable Generative AI Usage
In this course, you may leverage the benefits of Generative AI tools to enhance your learning experience. AI tools can be utilized to supplement your understanding of course material, conduct research, and explore different perspectives. However, it is important to exercise discernment and ensure that their usage remains within the boundaries of academic integrity. Remember to appropriately cite and reference any AI-produced content to acknowledge the sources. Embrace the opportunity to harness the power of Generative AI while maintaining the principles of honesty and intellectual growth throughout the course.

Notification 2: Conditional Generate AI Usage
In this course, the use of Generative AI is permissible only under specific circumstances, as outlined in the assignment instructions. When AI tool usage is allowed, exercise caution and ensure that you appropriately cite and attribute any content generated through their use. It is essential to strike a balance between leveraging the advantages of AI resources and preserving your individual creativity and problem-solving abilities. Failure to adhere to the specified Generative AI usage guidelines may result in academic consequences. Pay careful attention to the assignment requirements to determine whether AI tools are permitted and follow the instructions accordingly.

Notification 3: No Generative AI Usage Permitted
For the duration of this course, the use of Generative AI in assignments is strictly prohibited. Assignments are opportunities for personal growth, critical thinking, and applying your acquired knowledge. Your individual effort and creativity are essential in demonstrating your understanding of the course material. Dependence on AI undermines these objectives and compromises the integrity of the learning process. We appreciate your commitment to academic honesty and dedication to upholding this course's principles by refraining from using Generative AI in your assignments.
""        
Faculty may choose any of these AI usage statements for inclusion in their syllabus OR they can create their own.",Heather Brown,Public Domain,Tidewater Community College,357,Education_General
General use,Misc,"Restricted 
Work in this course is only to be done without AI use. Explain and support that this aligns with course learning outcomes and skill building. {state skills such as the ability to write, critically think}. 

Limited
Some assignments in this course have the optional use of AI. Unless indicated, assignments are to be done without AI use. These assignments are clearly identified and acceptable tools and uses clearly articulated.

Encouraged
AI is encouraged at different points or throughout the entire course. 
Throughout the entire course: Acceptable uses are clearly articulated either as a general course acknowledgement. Assignments have options for completing with AI (which require proper acknowledgements) or without AI use. 
Select assignments: Unless indicated, assignments can be completed with AI and require proper acknowledgements. These assignments are clearly identified as no AI use with an explanation of the value, skill building, or objective being obtained by restricting AI.

Required 
The nature of this course and its outcomes require the use of AI.  This needs to be clearly stated in the course description or through an initial student communication to allow students the opportunity to withdraw without academic consequences.",Amanda Jensen,Contact me for specific permissions,University of Rhode Island,190,Education_General
General use,Misc,"AI Course/ Classroom Basic Guidelines at FCCU: Suggested Template (Developed by CLT@FCCU)
Updated 2026
1. This is a suggested template for your classroom policy for AI usage to maintain academic integrity for your courses. This offers the information you are expected to clarify for your students, The list will ensure you have ticked all the necessary checkboxes

2. The Decision Tree offers a principle-based approach to help you decide if you should use AI or not for your specific tasks

3. The EdTech Checklist for Campus Preparedness for AI is a great starting point for institutions

5. These guidelines may change as technology evolves

6. This draft carries the recommended language for your AI course policy/guidelines. 



Overview & Purpose
This policy promotes AI as a learning tool while upholding academic integrity. It provides concise guidelines for using AI appropriately in coursework. The goal is to ensure your students learn both with and about AI technologies in an ethical manner. The AI course/classroom guidelines you adopt must include, but not be limited to the following content. 

   Permitted AI Uses
Learning Enhancement
Practice problems and self-assessment
Research assistance and brainstorming
Grammar and spelling checks
Understanding complex concepts
Instructor-approved class activities

  Study Support
Creating study guides
Generating practice questions
Explaining difficult topics
Language learning assistance

   Prohibited AI Uses
Strictly Forbidden
Any use during exams or quizzes
Generating assignments without permission
Submitting AI content as original work
Using AI to circumvent learning objectives
Sharing personal/private information like specific names, addresses, ID number etc


 Citation & Documentation
     Required for All AI Use
Clearly mark AI-assisted work
State which AI tool was used
Use green font for AI-generated content
Include AI assistance in references/citations
    Detection & Monitoring
Turnitin AI detection used
20% AI content threshold???
Regular review of submissions

Academic Integrity Guidelines
     Best Practices
When in doubt, ask first
Document all AI assistance
Use AI as a learning tool, not a shortcut
Maintain academic honesty
   Consequences
Violations handled per institutional policy
Grade penalties may apply
Documentation of incidents
Potential disciplinary action

Support & Communication
     Questions & Help
Course Instructor: [Name]
Email: [Address]
Office Hours: [Times]
Response Time: [Expected duration]

    Policy Updates
Regular reviews and updates
Changes announced via [platform]
Student feedback welcomed

A collection of Classroom Policies for GenAI use, by different faculty and different disciplines has been created by Lance Eaton. The purpose is to share and help other instructors see the range of policies available and help educators in the development of their own policy for navigating AI-Generative Tools. Look up the spreadsheet to locate policies by discipline.


Research shows that templates embedded with quality practices and standards can positively influence everything from learning to faculty satisfaction and learner retention (Al-Busaidi, 2012; Almarashdeh, 2016; Ghazal, 2018; Pérez-Pérez, 2019). Hope this template helps you and your learners to reap these benefits",Center for Learning & Teaching,Public Domain,Forman Christian College (A Chartered University),466,Education_General
"History of American Music, Music Appreciation",Music,"I am interested in YOUR thoughts, as this class is all about developing your critical listening skills, deepening your understanding of music, and exploring your own ideas.  As such, I hope that you will choose to engage with our course content and share your own words, not those of any AI.  However, I recognize that AI can be useful for brainstorming and is sometimes used for information-gathering.  If you choose to use AI in your work for this class, I ask that you do the following two things, in the following order: 1. Fact-check any information you have included from AI.  AI frequently makes mistakes, or """"hallucinates"""", and even creates made-up citations.  It is in your best interest to double-check information you find via AI. 2. Disclose in your writing that you used AI, and how. 

Most of the currently available AI tools are fairly recognizable in their output; there is a good chance I will recognize your use of AI, even if you don't disclose that you use it.  There is no real reason to use AI and not disclose that information for this class - but if you use AI and do not disclose that you did so, your work will be considered an example of academic dishonesty (see below)",Beth May,Creative Commons 4.0 By & Share Alike,Centralia College,212,Humanities
Nursing Courses,Nursing,"Plagiarism is another action identified as academic dishonesty. Presenting the work or ideas of someone else as one's own constitutes plagiarism, which is why students are always expected to cite their sources. Through the use of tools such as Turnitin, non-original work can be easily identified; if not sourced, this constitutes evidence of plagiarism and may result in a failing grade for the corresponding assignment. The tolerable limit for the Turnitin.com plagiarism detector is 25% and any work exceeding that amount will receive a zero and will need to be re-written for a grade.",Andrew Frados,Copyright retained,Miami Dade College,94,STEM
NUTR SCI 132: Nutrition Today,Nursing,"6) If AI is permitted to be used, you must indicate what part of the assignment was written by AI and what was written by you. If permitted by the instructor and you include material generated by an AI program, it should be cited like any other reference material (with due consideration for the quality of the reference, which may be poor). My recommendation is to screenshot and save everything (i.e., what prompts you used, what answers were produced, where, why, and how). This is a new territory, but basic attribution rules still apply. Cite everything, otherwise you are likely violating academic integrity policies and will be considered an act of academic dishonesty. 7) In fact, some discussions will require AI. Learning to use AI is an emerging skill, and I will provide tutorials in Canvas about how to use them. We will use AI tools that harness large language models, including ChatGPT, as pedagogical opportunities for learning and teaching in the course. Doing so aligns with the course objectives and opens up a class dialogue about the role of AI in nutrition education, including opportunities and complexities for nutrition professionals' everyday work in facilitating the learning of diverse client/patient needs. AI in education is a vital topic for professionals, who must navigate ongoing changes in the workforce and information access caused by digital technologies like AI and machine learning.",Naomi Gonzalez,,University of Wisconsin-Madison,230,STEM
